,place_id,name,business_status,formatted_address,price_level,rating,types
373,ChIJnezslTspdTER38EL46TPjFA,CHÁO ẾCH SINGAPORE THẤM GIA VỊ,OPERATIONAL,"TP, 1216 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
377,ChIJC4vXoSkvdTERtIbpo2uUC-A,Ăn Vặt Anh Mập,OPERATIONAL,"1054 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
379,ChIJf-1mCc0udTER6F_XewWgGio,Ah! Ngon Deli,OPERATIONAL,"Hẻm, 766/25 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",2.0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
380,ChIJyYklKPsvdTERgVVvKv9gkXY,XÔI GÀ CÔ HỒNG CMT8,OPERATIONAL,"836 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
382,ChIJ09qrvQ0vdTERfVXW_8NlZSI,Quán Phá Lâu Bò 601B,OPERATIONAL,"601 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
389,ChIJJ2aXEykvdTERinA_PqiRVvE,BÚN MỌC HƯƠNG NAM,OPERATIONAL,"713 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
392,ChIJL1Aj404vdTERaWH66tZdZXY,Ốc 15K | ỐC NGON CMT8 | ỐC NGON QUẬN 10,OPERATIONAL,"601/2 Đ. Cách Mạng Tháng 8, Phường 11, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']"
394,ChIJ38DC3AQvdTER-rNdcqV03c4,HỦ TIẾU MỰC PHẠM GIA,OPERATIONAL,"638 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
395,ChIJNcBJN2QvdTERpix9IM5AXvk,PHÒ MÃ - 927/8 CMT8,OPERATIONAL,"927/8 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
400,ChIJ8RkvzCEvdTER_dHGviWTfTM,KFC August Revolution Road,OPERATIONAL,"540 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",2.0,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
401,ChIJwyuP5pcvdTERnZqsb_qfyks,Quán Hàn Quốc Mì Cay Itada,OPERATIONAL,"1026 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
406,ChIJH0wrUBAvdTERqBw3ONwHDGM,Bánh Canh Bà U,OPERATIONAL,"749 Đ. Cách Mạng Tháng 8, Phường 06, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
408,ChIJ_Zm2viIvdTERfZCztfMmYxw,Cơm Phở Chay Nhân Duyên - CN Tân Bình,OPERATIONAL,"668 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
409,ChIJ9SxwMSYvdTERFHtrtvZBLq0,Cửa Hàng Vlxd Tới Phương Thảo,OPERATIONAL,"283 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['point_of_interest', 'store', 'establishment']"
